Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.7196802900117987,0.5453431378392612,0.7908740838368734,0.556356840663486
2,0.6407321393489838,0.6052900324849522,0.6404823329713609,0.5996260709232755
3,0.6190928834326127,0.6146854582954856,1.634668721093072,0.601495729552375
4,0.5995877954889747,0.6451184644418604,2.589085989528232,0.6204594042566087
5,0.5866445338024813,0.6549223854261286,1.7777709298663669,0.6306089758872986
6,0.5940876138560912,0.6547181378392612,4.192908955944909,0.6271367536650764
7,0.6026339381933212,0.6426674837575239,2.3749492234653897,0.6396901739968194
8,0.5861941944150364,0.6378676470588235,0.9982831213209364,0.6068376104036967
9,0.5925317161223468,0.6639093143098495,0.6131652063793607,0.6447649598121643
10,0.5640019818263895,0.6903594767346102,2.3586659299002752,0.6466346184412638
11,0.5735127382418689,0.6543096409124487,2.542729059855143,0.6290064122941759
12,0.5354987128692514,0.6982230386313271,1.3986860182550218,0.6551816264788309
13,0.5545431077480316,0.6933210790157318,2.026253190305498,0.646367523405287
14,0.5369081444600049,0.7076184644418604,3.057532933023241,0.7035256425539652
15,0.5544533466591555,0.6970996733974008,1.5046568380461798,0.668803420331743
16,0.5266810716951594,0.7066993467948016,3.3563639985190497,0.651442309220632
17,0.5357697895344566,0.6974060465307796,2.7752000954416065,0.6637286345163981
18,0.5421919971704483,0.7045547383673051,2.0383185115125446,0.6672008567386203
19,0.5482539657284232,0.6878063731333789,1.0957480669021606,0.6565170950359769
